            angle	Ex=0.000(d:DCV,3He:XHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:LLC)	Ex=0.298(d:DCV,3He:XHS)	Ex=0.298(d:DCV,3He:LLC)	Ex=0.298(d:HSS,3He:LLC)	
            170.00          0.000008          0.000224          0.000120          0.000008          0.000234          0.000121
            171.00          0.000008          0.000240          0.000130          0.000009          0.000252          0.000131
            172.00          0.000009          0.000256          0.000141          0.000010          0.000269          0.000142
            173.00          0.000010          0.000272          0.000151          0.000010          0.000286          0.000153
            174.00          0.000010          0.000286          0.000160          0.000011          0.000301          0.000163
            175.00          0.000011          0.000299          0.000169          0.000012          0.000315          0.000172
            176.00          0.000011          0.000311          0.000177          0.000013          0.000327          0.000180
            177.00          0.000012          0.000320          0.000183          0.000013          0.000337          0.000186
            178.00          0.000012          0.000326          0.000188          0.000013          0.000344          0.000191
            179.00          0.000012          0.000330          0.000191          0.000014          0.000348          0.000194
