            angle	Ex=2.938(p:Menet,d:DCV)	Ex=2.938(p:KD,d:DCV)	Ex=2.938(p:Varmar,d:DCV)	Ex=2.938(p:BG,d:DCV(re))	Ex=2.938(p:Menet,d:LH)	Ex=2.938(p:Menet,d:DCV(nonREL))	Ex=2.938(p:Menet,d:AC)	Ex=2.938(p:Menet,d:Custom)	
             6.90	         0.481600	         0.504060	         0.456330	         0.396880	         0.496030	         0.478180	         0.515280	         0.401310	
             7.00	         0.481210	         0.504360	         0.456700	         0.397420	         0.495270	         0.477740	         0.514880	         0.401060	
             7.10	         0.480880	         0.504730	         0.457140	         0.398040	         0.494560	         0.477370	         0.514550	         0.400850	
             7.20	         0.480620	         0.505180	         0.457650	         0.398730	         0.493900	         0.477060	         0.514290	         0.400680	
             7.30	         0.480430	         0.505720	         0.458250	         0.399510	         0.493300	         0.476830	         0.514110	         0.400550	
             7.40	         0.480320	         0.506330	         0.458940	         0.400380	         0.492750	         0.476670	         0.514000	         0.400460	
             7.50	         0.480290	         0.507040	         0.459710	         0.401330	         0.492260	         0.476590	         0.513960	         0.400410	
             7.60	         0.480330	         0.507830	         0.460560	         0.402370	         0.491840	         0.476580	         0.514000	         0.400400	
             7.70	         0.480450	         0.508710	         0.461510	         0.403500	         0.491470	         0.476660	         0.514130	         0.400440	
             7.80	         0.480660	         0.509680	         0.462540	         0.404720	         0.491160	         0.476810	         0.514330	         0.400520	
             7.90	         0.480950	         0.510740	         0.463670	         0.406030	         0.490920	         0.477050	         0.514620	         0.400650	
             8.00	         0.481330	         0.511900	         0.464900	         0.407450	         0.490750	         0.477380	         0.515000	         0.400830	
             8.10	         0.481790	         0.513160	         0.466220	         0.408960	         0.490640	         0.477790	         0.515460	         0.401050	
             8.20	         0.482350	         0.514520	         0.467640	         0.410570	         0.490610	         0.478300	         0.516020	         0.401320	
             8.30	         0.483000	         0.515980	         0.469150	         0.412280	         0.490640	         0.478890	         0.516660	         0.401640	
             8.40	         0.483740	         0.517540	         0.470780	         0.414090	         0.490750	         0.479580	         0.517400	         0.402010	
             8.50	         0.484570	         0.519210	         0.472500	         0.416010	         0.490930	         0.480360	         0.518240	         0.402430	
             8.60	         0.485510	         0.520980	         0.474330	         0.418030	         0.491180	         0.481240	         0.519170	         0.402900	
             8.70	         0.486540	         0.522860	         0.476270	         0.420160	         0.491510	         0.482220	         0.520200	         0.403430	
             8.80	         0.487680	         0.524850	         0.478310	         0.422400	         0.491920	         0.483300	         0.521330	         0.404010	
             8.90	         0.488910	         0.526950	         0.480470	         0.424750	         0.492410	         0.484480	         0.522560	         0.404640	
             9.00	         0.490250	         0.529160	         0.482730	         0.427220	         0.492980	         0.485760	         0.523900	         0.405320	
             9.10	         0.491700	         0.531480	         0.485110	         0.429790	         0.493620	         0.487140	         0.525340	         0.406060	
             9.20	         0.493250	         0.533920	         0.487600	         0.432480	         0.494350	         0.488630	         0.526890	         0.406860	
             9.30	         0.494900	         0.536480	         0.490210	         0.435290	         0.495170	         0.490230	         0.528540	         0.407710	
             9.40	         0.496670	         0.539150	         0.492930	         0.438210	         0.496060	         0.491940	         0.530300	         0.408620	
             9.50	         0.498550	         0.541940	         0.495770	         0.441250	         0.497050	         0.493750	         0.532170	         0.409590	
             9.60	         0.500540	         0.544850	         0.498730	         0.444400	         0.498110	         0.495680	         0.534150	         0.410610	
             9.70	         0.502640	         0.547890	         0.501800	         0.447680	         0.499270	         0.497720	         0.536250	         0.411690	
             9.80	         0.504850	         0.551040	         0.505000	         0.451080	         0.500510	         0.499870	         0.538450	         0.412820	
             9.90	         0.507180	         0.554310	         0.508310	         0.454600	         0.501840	         0.502130	         0.540770	         0.414020	
            10.00	         0.509620	         0.557710	         0.511750	         0.458240	         0.503260	         0.504510	         0.543210	         0.415270	
            10.10	         0.512180	         0.561230	         0.515310	         0.462000	         0.504770	         0.507000	         0.545760	         0.416590	
            10.20	         0.514850	         0.564880	         0.519000	         0.465890	         0.506370	         0.509610	         0.548420	         0.417960	
            10.30	         0.517650	         0.568650	         0.522800	         0.469900	         0.508060	         0.512340	         0.551210	         0.419390	
            10.40	         0.520560	         0.572550	         0.526740	         0.474030	         0.509840	         0.515180	         0.554110	         0.420870	
            10.50	         0.523590	         0.576570	         0.530790	         0.478290	         0.511710	         0.518140	         0.557130	         0.422420	
            10.60	         0.526740	         0.580720	         0.534970	         0.482670	         0.513670	         0.521220	         0.560270	         0.424030	
            10.70	         0.530010	         0.585000	         0.539280	         0.487180	         0.515730	         0.524420	         0.563520	         0.425690	
            10.80	         0.533390	         0.589400	         0.543710	         0.491820	         0.517870	         0.527740	         0.566900	         0.427410	
            10.90	         0.536900	         0.593940	         0.548270	         0.496580	         0.520110	         0.531180	         0.570400	         0.429190	
            11.00	         0.540530	         0.598600	         0.552950	         0.501470	         0.522450	         0.534740	         0.574010	         0.431030	
            11.10	         0.544280	         0.603380	         0.557760	         0.506480	         0.524870	         0.538410	         0.577750	         0.432930	
            11.20	         0.548160	         0.608300	         0.562700	         0.511620	         0.527390	         0.542210	         0.581610	         0.434890	
            11.30	         0.552150	         0.613350	         0.567760	         0.516880	         0.530000	         0.546130	         0.585580	         0.436900	
            11.40	         0.556260	         0.618520	         0.572950	         0.522270	         0.532700	         0.550170	         0.589680	         0.438970	
            11.50	         0.560500	         0.623820	         0.578260	         0.527790	         0.535490	         0.554330	         0.593900	         0.441100	
            11.60	         0.564850	         0.629240	         0.583700	         0.533430	         0.538380	         0.558610	         0.598230	         0.443280	
            11.70	         0.569330	         0.634800	         0.589260	         0.539190	         0.541360	         0.563010	         0.602690	         0.445520	
            11.80	         0.573920	         0.640480	         0.594950	         0.545080	         0.544420	         0.567530	         0.607270	         0.447810	
            11.90	         0.578640	         0.646280	         0.600760	         0.551090	         0.547580	         0.572160	         0.611960	         0.450160	
