#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
   Angel	  Ex=0.000(1g9/2)AK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)AM  Ex=0.000(1g9/2)AG  Ex=0.000(1g9/2)AP  Ex=0.000(1g9/2)HK  Ex=0.000(1g9/2)HV  Ex=0.000(1g9/2)HM  Ex=0.000(1g9/2)HG  Ex=0.000(1g9/2)HP  Ex=0.000(1g9/2)BK  Ex=0.000(1g9/2)BV  Ex=0.000(1g9/2)BM  Ex=0.000(1g9/2)BG  Ex=0.000(1g9/2)BP  Ex=0.000(1g9/2)DK  Ex=0.000(1g9/2)DV  Ex=0.000(1g9/2)DM  Ex=0.000(1g9/2)DG  Ex=0.000(1g9/2)DP  Ex=0.000(1g9/2)LK  Ex=0.000(1g9/2)LV  Ex=0.000(1g9/2)LM  Ex=0.000(1g9/2)LG  Ex=0.000(1g9/2)LP  Ex=0.000(1g9/2)QK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)QM  Ex=0.000(1g9/2)QG  Ex=0.000(1g9/2)QP
  16.500	           0.829030           0.504510           0.337660           3.063400           1.225300           0.678950           0.553510           0.314180           2.935900           1.069200           0.981970           0.716950           0.379210           2.807900           1.333000           0.815900           0.608180           0.319290           2.844600           1.178000           0.981280           0.726220           0.530700           2.398700           1.080700           0.723200           0.504510           0.272330           2.166000           0.964210
  17.000	           0.872200           0.539180           0.360230           3.130100           1.277200           0.717160           0.584870           0.332120           2.997800           1.117100           1.032400           0.761590           0.409450           2.901000           1.393100           0.857810           0.643410           0.341780           2.907900           1.227600           1.013100           0.754830           0.550440           2.477100           1.120700           0.762940           0.539180           0.295910           2.241700           1.011700
  17.500	           0.917170           0.575240           0.384630           3.201800           1.331200           0.757290           0.618300           0.351890           3.064500           1.167100           1.084200           0.807860           0.441300           2.998600           1.454700           0.901530           0.680620           0.366060           2.976200           1.279100           1.044000           0.783110           0.570130           2.556200           1.159900           0.803820           0.575240           0.320800           2.321600           1.060400
  18.000	           0.963850           0.612640           0.410840           3.278300           1.386900           0.799310           0.653810           0.373520           3.135800           1.219100           1.137300           0.855690           0.474730           3.100300           1.517600           0.946980           0.719770           0.392120           3.049500           1.332500           1.074100           0.810980           0.589740           2.635500           1.198300           0.845770           0.612640           0.347000           2.405600           1.110400
  18.500	           1.012200           0.651330           0.438870           3.359400           1.444400           0.843180           0.691380           0.397060           3.211600           1.273200           1.191500           0.905000           0.509710           3.205900           1.581600           0.994060           0.760790           0.419950           3.127700           1.387700           1.103100           0.838360           0.609230           2.714700           1.235700           0.888690           0.651330           0.374510           2.493500           1.161400
  19.000	           1.062000           0.691230           0.468690           3.445000           1.503500           0.888840           0.731000           0.422530           3.291800           1.329100           1.246700           0.955660           0.546200           3.315100           1.646600           1.042600           0.803590           0.449520           3.210400           1.444400           1.131100           0.865170           0.628590           2.793300           1.271900           0.932480           0.691230           0.403290           2.584900           1.213400
  19.500	           1.113200           0.732280           0.500270           3.534800           1.564000           0.936240           0.772630           0.449950           3.376200           1.386900           1.302700           1.007600           0.584140           3.427500           1.712300           1.092600           0.848070           0.480780           3.297600           1.502600           1.157800           0.891350           0.647790           2.871000           1.306900           0.977020           0.732280           0.433340           2.679700           1.266100
  20.000	           1.165600           0.774380           0.533550           3.628400           1.625600           0.985300           0.816220           0.479320           3.464600           1.446300           1.359500           1.060600           0.623460           3.542700           1.778600           1.143800           0.894120           0.513680           3.388800           1.561900           1.183200           0.916830           0.666820           2.947200           1.340400           1.022200           0.774380           0.464630           2.777500           1.319400
  20.500	           1.219100           0.817460           0.568480           3.725500           1.688300           1.036000           0.861730           0.510630           3.556700           1.507200           1.416800           1.114600           0.664110           3.660300           1.845300           1.196000           0.941620           0.548160           3.483700           1.622300           1.207300           0.941580           0.685670           3.021600           1.372400           1.067900           0.817460           0.497110           2.877900           1.373200
  21.000	           1.273600           0.861430           0.604990           3.825800           1.751800           1.088100           0.909070           0.543880           3.652200           1.569600           1.474400           1.169500           0.706000           3.779900           1.912100           1.249100           0.990420           0.584140           3.582000           1.683500           1.230100           0.965560           0.704350           3.093700           1.402900           1.114100           0.861430           0.530760           2.980600           1.427300
  21.500	           1.328800           0.906180           0.643000           3.928800           1.815900           1.141600           0.958170           0.579020           3.750800           1.633200           1.532300           1.225100           0.749040           3.900900           1.978900           1.303000           1.040400           0.621530           3.683300           1.745200           1.251500           0.988750           0.722870           3.163200           1.431800           1.160600           0.906180           0.565540           3.085000           1.481600
  22.000	           1.384700           0.951640           0.682410           4.034100           1.880400           1.196500           1.008900           0.616020           3.852100           1.697900           1.590200           1.281300           0.793140           4.022800           2.045400           1.357400           1.091300           0.660220           3.787100           1.807400           1.271500           1.011200           0.741250           3.229600           1.459000           1.207300           0.951640           0.601380           3.190900           1.535900
  22.500	           1.440900           0.997700           0.723110           4.141200           1.945000           1.252500           1.061300           0.654840           3.955800           1.763600           1.648100           1.337900           0.838190           4.145200           2.111500           1.412100           1.143100           0.700110           3.892800           1.869600           1.290200           1.032800           0.759510           3.292600           1.484500           1.254000           0.997700           0.638260           3.297600           1.590100
  23.000	           1.497500           1.044300           0.765000           4.249600           2.009600           1.309600           1.115100           0.695400           4.061500           1.830100           1.705700           1.394700           0.884100           4.267500           2.176900           1.467100           1.195500           0.741090           4.000100           1.931700           1.307600           1.053700           0.777690           3.351900           1.508400           1.300800           1.044300           0.676110           3.404800           1.644000
  23.500	           1.554100           1.091300           0.807960           4.358800           2.073900           1.367700           1.170300           0.737630           4.168600           1.897200           1.762800           1.451600           0.930760           4.389000           2.241500           1.522000           1.248500           0.783030           4.108300           1.993500           1.323900           1.073900           0.795850           3.407100           1.530700           1.347500           1.091300           0.714880           3.512000           1.697500
  24.000	           1.610600           1.138600           0.851850           4.468200           2.137700           1.426500           1.226700           0.781460           4.276900           1.964800           1.819500           1.508500           0.978040           4.509300           2.305000           1.576700           1.301700           0.825800           4.217000           2.054700           1.339000           1.093500           0.814040           3.458000           1.551500           1.394100           1.138600           0.754510           3.618600           1.750500
  24.500	           1.666900           1.186200           0.896550           4.577300           2.200800           1.486200           1.284200           0.826800           4.385800           2.032700           1.875400           1.565300           1.025800           4.627800           2.367400           1.631100           1.355000           0.869260           4.325500           2.115200           1.353200           1.112600           0.832310           3.504400           1.570900           1.440300           1.186200           0.794950           3.724200           1.802800
