            angle	Ex=0.000(d5/2)(d:DCV,p:Vamer)	Ex=0.000(d5/2)(d:DCV,p:KD)	Ex=0.000(d5/2)(d:HSS,p:KD)	Ex=0.120(s1/2)(d:DCV,p:Vamer)	Ex=0.120(s1/2)(d:DCV,p:KD)	Ex=0.120(s1/2)(d:HSS,p:KD)	Ex=0.298(d5/2)(d:DCV,p:Vamer)	Ex=0.298(d5/2)(d:DCV,p:KD)	Ex=0.298(d5/2)(d:HSS,p:KD)	Ex=0.397(s1/2)(d:DCV,p:Vamer)	Ex=0.397(s1/2)(d:DCV,p:KD)	Ex=0.397(s1/2)(d:HSS,p:KD)	
            160.00          0.000053          0.000172          0.000152          0.000035          0.000076          0.000136          0.000064          0.000218          0.000212          0.000249          0.000485          0.000905
            161.00          0.000052          0.000175          0.000141          0.000034          0.000078          0.000146          0.000061          0.000221          0.000196          0.000301          0.000557          0.000980
            162.00          0.000050          0.000178          0.000131          0.000035          0.000084          0.000157          0.000059          0.000224          0.000182          0.000358          0.000633          0.001052
            163.00          0.000049          0.000181          0.000123          0.000038          0.000092          0.000168          0.000058          0.000227          0.000169          0.000420          0.000713          0.001118
            164.00          0.000049          0.000184          0.000116          0.000042          0.000102          0.000179          0.000057          0.000230          0.000159          0.000484          0.000794          0.001178
            165.00          0.000048          0.000187          0.000111          0.000049          0.000115          0.000189          0.000056          0.000234          0.000151          0.000551          0.000877          0.001230
            166.00          0.000047          0.000190          0.000107          0.000057          0.000130          0.000200          0.000055          0.000238          0.000145          0.000617          0.000957          0.001275
            167.00          0.000046          0.000192          0.000104          0.000067          0.000147          0.000209          0.000055          0.000241          0.000141          0.000682          0.001036          0.001311
            168.00          0.000045          0.000194          0.000103          0.000077          0.000165          0.000218          0.000053          0.000243          0.000140          0.000745          0.001110          0.001340
            169.00          0.000044          0.000194          0.000103          0.000089          0.000184          0.000226          0.000052          0.000243          0.000140          0.000804          0.001180          0.001362
            170.00          0.000042          0.000194          0.000103          0.000100          0.000203          0.000232          0.000049          0.000243          0.000141          0.000858          0.001243          0.001376
            171.00          0.000040          0.000193          0.000103          0.000112          0.000221          0.000238          0.000046          0.000241          0.000141          0.000907          0.001300          0.001386
            172.00          0.000038          0.000191          0.000104          0.000123          0.000239          0.000243          0.000043          0.000237          0.000142          0.000951          0.001351          0.001390
            173.00          0.000036          0.000189          0.000103          0.000133          0.000255          0.000246          0.000039          0.000233          0.000141          0.000988          0.001394          0.001391
            174.00          0.000033          0.000186          0.000103          0.000143          0.000270          0.000249          0.000036          0.000228          0.000140          0.001020          0.001431          0.001389
            175.00          0.000031          0.000184          0.000101          0.000151          0.000283          0.000251          0.000033          0.000224          0.000137          0.001045          0.001462          0.001386
            176.00          0.000029          0.000181          0.000099          0.000158          0.000294          0.000252          0.000030          0.000219          0.000133          0.001066          0.001486          0.001382
            177.00          0.000028          0.000179          0.000098          0.000163          0.000303          0.000253          0.000028          0.000215          0.000129          0.001082          0.001505          0.001378
            178.00          0.000027          0.000178          0.000096          0.000167          0.000309          0.000254          0.000026          0.000212          0.000126          0.001093          0.001518          0.001374
            179.00          0.000026          0.000177          0.000095          0.000169          0.000313          0.000254          0.000025          0.000211          0.000124          0.001099          0.001525          0.001372
