            angle	Ex=0.000(d:DCV,3He:XGHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:XGHS)	Ex=0.740(d:DCV,3He:XGHS)	Ex=0.740(d:DCV,3He:LLC)	Ex=0.740(d:HSS,3He:XGHS)	Ex=4.780(d:DCV,3He:XGHS)	Ex=4.780(d:DCV,3He:LLC)	Ex=4.780(d:HSS,3He:XGHS)	Ex=5.833(d:DCV,3He:XGHS)	Ex=5.833(d:DCV,3He:LLC)	Ex=5.833(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	
             41.00          0.051945          0.092531          0.063027          0.052165          0.095790          0.064757          0.048362          0.106380          0.065647          0.046682          0.108530          0.064238          0.045821          0.109580          0.063357          0.045821          0.109580          0.063357          0.046018          0.109340          0.063567
             41.50          0.051061          0.093776          0.060127          0.051385          0.097116          0.061972          0.048005          0.107500          0.063619          0.046398          0.109440          0.062450          0.045563          0.110370          0.061686          0.045563          0.110370          0.061686          0.045755          0.110160          0.061870
             42.00          0.050308          0.095042          0.057409          0.050717          0.098445          0.059340          0.047660          0.108580          0.061583          0.046105          0.110310          0.060618          0.045288          0.111110          0.059957          0.045288          0.111110          0.059957          0.045476          0.110930          0.060117
             42.50          0.049700          0.096347          0.054907          0.050178          0.099801          0.056899          0.047363          0.109640          0.059594          0.045839          0.111150          0.058798          0.045030          0.111820          0.058223          0.045030          0.111820          0.058223          0.045217          0.111670          0.058364
             43.00          0.049243          0.097698          0.052644          0.049779          0.101190          0.054676          0.047138          0.110710          0.057701          0.045627          0.112000          0.057038          0.044818          0.112550          0.056533          0.044818          0.112550          0.056533          0.045005          0.112430          0.056658
             43.50          0.048933          0.099092          0.050629          0.049520          0.102620          0.052685          0.047005          0.111810          0.055937          0.045493          0.112870          0.055379          0.044676          0.113290          0.054929          0.044676          0.113290          0.054929          0.044865          0.113200          0.055041
             44.00          0.048757          0.100520          0.048861          0.049392          0.104080          0.050930          0.046974          0.112930          0.054331          0.045448          0.113780          0.053849          0.044617          0.114080          0.053439          0.044617          0.114080          0.053439          0.044810          0.114020          0.053542
             44.50          0.048696          0.101960          0.047329          0.049380          0.105560          0.049403          0.047048          0.114100          0.052896          0.045501          0.114740          0.052468          0.044651          0.114900          0.052089          0.044651          0.114900          0.052089          0.044848          0.114870          0.052185
             45.00          0.048727          0.103390          0.046017          0.049463          0.107030          0.048090          0.047221          0.115290          0.051640          0.045649          0.115730          0.051249          0.044779          0.115780          0.050890          0.044779          0.115780          0.050890          0.044981          0.115770          0.050981
             45.50          0.048822          0.104780          0.044899          0.049615          0.108480          0.046969          0.047483          0.116510          0.050561          0.045887          0.116750          0.050193          0.044996          0.116690          0.049848          0.044996          0.116690          0.049848          0.045203          0.116710          0.049936
             46.00          0.048952          0.106100          0.043946          0.049808          0.109860          0.046015          0.047819          0.117730          0.049648          0.046201          0.117800          0.049296          0.045292          0.117630          0.048959          0.045292          0.117630          0.048959          0.045504          0.117680          0.049045
             46.50          0.049086          0.107320          0.043127          0.050012          0.111150          0.045195          0.048207          0.118930          0.048885          0.046576          0.118840          0.048545          0.045651          0.118580          0.048214          0.045651          0.118580          0.048214          0.045867          0.118650          0.048299
             47.00          0.049194          0.108400          0.042410          0.050199          0.112310          0.044479          0.048624          0.120090          0.048250          0.046991          0.119870          0.047924          0.046056          0.119520          0.047597          0.046056          0.119520          0.047597          0.046275          0.119610          0.047681
             47.50          0.049251          0.109310          0.041760          0.050341          0.113320          0.043835          0.049046          0.121170          0.047719          0.047425          0.120850          0.047411          0.046486          0.120430          0.047090          0.046486          0.120430          0.047090          0.046706          0.120540          0.047173
             48.00          0.049229          0.110040          0.041146          0.050410          0.114150          0.043230          0.049448          0.122160          0.047265          0.047852          0.121760          0.046981          0.046917          0.121280          0.046670          0.046917          0.121280          0.046670          0.047137          0.121410          0.046751
             48.50          0.049110          0.110540          0.040539          0.050386          0.114760          0.042636          0.049804          0.123020          0.046859          0.048251          0.122570          0.046609          0.047328          0.122050          0.046312          0.047328          0.122050          0.046312          0.047545          0.122190          0.046390
             49.00          0.048874          0.110810          0.039914          0.050249          0.115150          0.042026          0.050092          0.123720          0.046473          0.048597          0.123250          0.046268          0.047695          0.122710          0.045990          0.047695          0.122710          0.045990          0.047909          0.122850          0.046064
             49.50          0.048510          0.110820          0.039247          0.049984          0.115280          0.041377          0.050291          0.124250          0.046082          0.048871          0.123790          0.045933          0.047998          0.123230          0.045680          0.047998          0.123230          0.045680          0.048206          0.123380          0.045748
